id;question;answers.a;answers.b;answers.c;answers.d;answers.e;correct_answers;nbr_correct_answers
ee87f2b251b4f7626ec98f7341e57144968fcf9d0edd7ee7f2bdacbe27fc2f54;Quelle est la proposition inexacte concernant les modifications des activités enzymatiques provoquées par le benzène?;Inhibition de l'ALA synthétase;Inhibition des peroxydases érythrocytaires;Induction des catalases érythrocytaires;Inhibition des monoxygénases Cytochrome P 450 dépendantes qui participent au métabolisme du benzène;Diminution des phosphatases alcalines leucocytaires;d;1
965ef8b4c096f6e79efaf660e0eefc7f702aa976e0a11eb91ecc3cce6bb97894;Le syndrome de « cytolyse» hépatique est caractérisé par:;Une augmentation de la concentration sérique de l'alanine-amino transférase;Une diminution de la concentration plasmatique des protéines;Une diminution de la concentration du fer sérique;Une augmentation de la concentration plasmatique de la phosphatase alcaline;Une augmentation de la concentration plasmatique des immunoglobulines A;a;1
d87fcbad33c054fd952c2ad5d48b0c8219bfe5e5db30316a0bc1fe1cd1b55e7a;Le prurit anal est le symptôme majeur de:;L'anguillulose;L'ankylostomose;L'oxyurose;La bilharziose;Le teniasis;c;1
2503a5a653dcc72564371deb059eba7f03e46d69552b9d5f5edf14fd096331f3;Parmi les propositions suivantes, une seule est fausse, indiquez laquelle. Les sels biliaires :;Sont amphipathiques;Sont synthétisés à partir du cholestérol;Sont synthétisés par l'hépatocyte;Subissent un cycle entérohépatique;Sont indispensables à l'absorption intestinale de constituants hydrosolubles;e;1
4b19c8e235b331eb167a369c0d613dfa820b0556d242deb976a9c6d66d532ca7;Indiquer, parmi les caractères suivants, celui qui est commun à toutes les anémies arégénératives :;Taux d'hémoglobine inférieur à 80 g/L;Réticulocytopénie;Macrocytose;Sidérémie normale;Myélogramme de densité cellulaire faible;b;1
80473c275b925067b070531f70f165a66ef5dfe364fefff562c12d9d44e367b0;Parmi les bactéries suivantes, laquelle est un agent habituel de méningite néonatale?;Clostridium tetani;Salmonella sérovar Typhimurium;Streptococcus agalactiae .;Haemophilus influenzae;Vibrio cholerae;c;1
a5ae98f610e554972e7bd0048b26403aa4b99d4d98269a7b574e05dca9d0bcc1;Parmi les propositions suivantes, quelle est celle qui s'applique à Mycobacterium tuberculosis ?;On peut l'isoler sur gélose enrichie au sang de cheval;Il se développe en 72 heures sur milieu gélosé adapté;Il n'est pas responsable de méningites;Il peut être responsable d'infections urinaires;II n'est jamais sensible aux aminosides;d;1
5d22147d2c61980d17658f827bd528a789bb4f4464fa2bb12a353ca3419b59c7;Parmi les propositions suivantes concernant l'imipramine. laquelle est inexacte?;C'est un antidépresseur tricyclique;Elle inhibe la recapture neuronale de la noradrénaline et de la sérotonine;Ses effets cliniques se manifestent en 24 à 48h;Sa demi-vie plasmatique est de 9 à 20 h;Elle présente des propriétés anticholinergiques muscariniques;c;1
be17cf47bb3cffe502ca4c1f2d59553edc251dec071699a2c1b33d57cd7758a8;Parmi les propositions suivantes concernant les diurétiques, une seule est fausse. Laquelle?;Les diurétiques de l'anse sont en général des dérivés sulfamidés;L'hydrochlorothiazide (ESIDREX) inhibe la réabsorption du sodium au niveau du segment cortical de dilution;Le furosémide (LASILlX) est indiqué dans le traitement de l'oedème aigu du poumon;L'amiloride (MODAMIDE) est contre-indiqué en cas d'hyperkaliémie;La spironolactone (ALDACTONE) est souvent associée aux inhibiteurs de l'enzyme de conversion de l'angiotensine;e;1
ba7a0ce67f06b1e14e212e7f7f12e6acf6b48f6158028d04ee6f012796f885ce;Parmi les anti-ulcéreux suivant, quel est celui qui possède, aux concentrations thérapeutiques, des propriétés inhibitrices des cytochromes P450 ?;Nizatidine;Ranitidine;Cimétidine;Famotidine;Sucralfate;c;1
86d24da4b58426a5041c72a6f7dd5bedb89f4730c1b686e6ddeef512009087ef;Parmi les paramètres suivants, citer celui qui constitue un marqueur de l'ostéogénèse :;Glycosides d'hydroxylysine urinaires;Pyridinoline urinaire;Ostéocalcine;Hydroxyproline;Calciurie;c;1
38c00541464e86e4f292a0aaa1c80609aedc6ded6b203aac08f50e7362d60955;Dans l'organisme quel est le milieu où les cyclines ne diffusent pas?;Plèvre;Articulations;Poumons;LCR;Os;d;1
7d91b70a1171a6ba96f93c1ad82d5934e4861552498e5e70dc450c0e6a639d35;Parmi les propositions, une seule est fausse. Laquelle? Un carbure de formule brute CnH2n:;Peut être un carbure monocyclique saturé;Peut être un mono-ethylénique;Peut être un acétylénique;Peut être un carbure ramifié;Peut-être optiquement actif;c;1
b5f14aebaef7a9c4d03cbeaecfba4fa445d844bced9f1569a3b0f27a1b086ddf;Parmi les éléments suivants, quel est celui qui n'entre pas dans l'uréogenèse ?;CO2;NH3;Valine;ATP;Ornithine;c;1
96bf4688c1a89ab559741511ac04aa1166035c72d36248cbd6d1c48245d6331c;Parmi les propositions suivantes, indiquer celle qui exacte. L'indication habituelle du fluconazole (TRIFLUCAN®) est:;L'amibiase intestinale aiguë;Les helminthiases intestinales;Les teignes du cuir chevelu;Les infections à levures;Les infections profondes à Aspergillus;d;1
87d20a11fa4f697d054d27ccf87ff2e666cdee6e7a04b4c3176915e01ee635e7;Dans une des conditions suivantes, l'antigène est tolérogène, laquelle?;Administration par voie intra-musculaire;Administration par voie intra-veineuse;Administration en présence d'adjuvant;Antigène de nature protéique;Antigène sous forme particulaire;b;1
37ff611be3026aad3922f27ee8b02ae919b69a88c734fe31ce4a5e6bb600eba7;Parmi les symptômes suivants, indiquer celui qui n'est pas observé lors d'une intoxication aiguë par le monoxyde de carbone;Céphalées;Coma;Vertiges;Cyanose;Nausées, Vomissements;d;1
f45b9fb363a30ee8fbf626ec13c919f9ba18c786b092e7f18b135cfb908cae8d;Une gamma glutamyltransférase sérique élevée, associée à un volume globulaire moyen augmenté est évocatrice de :;Cholestase;Pancréatite;Hépatite virale débutante;Insuffisance hépatique aiguë;Intoxication alcoolique chronique;e;1
4a140639b1eeb2a4af61c9dcd579ce7be51330a95e1fcd4bd0e7b18aba22ef62;Parmi les propositions suivantes concernant le virus de l'immunodéficience humaine, laquelle est exacte?;Ce sont des virus à ADN;Ils peuvent être cultivés sur milieu de Löwenstein-Jensen;Ce sont des virus nus;Ce sont des virus ayant un génome fragmenté en huit fragments;Ils possèdent une enzyme capable de transcrire l'ARN en ADN;e;1
90ddd40e22ab1c572594f8634f063fe28a41c768a9599aa306973ca85762fadc;Le catharomètre est un détecteur utilisé chromatographie en phase gazeuse. Parmi les propositions suivantes, laquelle est fausse?;Son fonctionnement repose sur la variation de la conductibilité thermique;Sa sensibilité est de l'ordre du micro gramme;Il est non spécifique;Il est non destructif;Son fonctionnement repose sur l'ionisation des molécules;e;1
145d7a580a2dcb75998719d5721167747d809421dae0ae79a8d73a2206e7aea9;Parmi les propositions suivantes une seule est exacte. Laquelle? Une solution jaune absorbe dans une zone du spectre se situant:;Autour de 250 nm;Autour de 300 nm;Autour de 400 nm;Autour de 500 nm;Autour de 650 nm;c;1
25dc50974d1130dfd14e81ce52f9b925bc0150ebf27a7918cada0377db90bc63;Parmi les neurotransmetteurs ou neuromodulateurs proposés, lequel intervient dans le mécanisme d'action des benzodiazépines?;La dopamine;Le GABA;L'acétylcholine;L'histamine;L'acide glutamique;b;1
6b420aa8e5f66f65505d7d0d135084b5beb4f007c4935f98e519b2d5776fa181;Parmi les propositions suivantes concernant l'amibiase, une seule est fausse. Laquelle?;Elle est due à Entamoeba dispar;Elle se contracte par ingestion de kystes;Elle se manifeste souvent par des troubles intestinaux;Elle peut présenter des complications hépatiques;Elle peut présenter des complications pulmonaires;a;1
afa8e84245ec0af4782b97fab7ec4e963fe06965395dc552eb10a6c029679679;Parmi les mécanismes de l'action antibactérienne des fluoroquinolones, citez celui qui est exact;Inhibition de la biosynthèse des membranes;Inhibition de la réplication de l'ADN;Modification du mouvenment des ions calcium de la cellule;Intercalation dans l'ADN;Inhibition des métalloprotéines enzymatiques;b;1
dfd5d9c2f3fe5c4cfc974c9f543dd715cf19d7e28f2517c27dd2352ae24c3f80;Parmi les propositions suivantes, une seule est fausse. Indiquez laquelle? La rifampicine:;Est un alcaloïde;Possède un noyau naphtohydroquinone;Comporte dans sa structure un macrocycle lactonique;Est colorée en rouge;Est obtenue à partir d'une substance d'origine fongique;a;1
61fdb2bb1b5c9b1f446e4a48b774a8c40820160bc417c691669cc90beb284f73;Parmi les propositions suivantes, une seule est fausse. Indiquez laquelle? L'haptoglobine plasmatique:;Est une glycoprotéine;Fait partie du groupe des alpha2 globulines;Augmente dans les syndromes inflammatoires;Se combine avec l'hémoglobine pour donner des complexes;Augmente dans les insuffisances hépatocellulaires;e;1
76794323bbb99bc7372ecdbe9758f21b32aaac8213de296c25519759917e3888;Parmi les propositions suivantes, une seule est exacte. Laquelle? Les inhibiteurs de l'enzyme de conversion de l'angiotensine I :;Diminuent la post-charge;Diminuent le taux de rénine plasmatique;Diminuent le taux de bradykinine;Majorent le risque de survenue d'hypokaliémie;Sont déconseillés chez l'insuffisant cardiaque;a;1
da692b87394fc33b10c72c04f95f6d5648c152dcf650defa6a174a242772b556;Parmi les propriétés bactériologiques et pharmacocinétiques suivantes, laquelle n'est pas une caractéristique des aminosides?;Forte liaison aux protéines plasmatiques;Effet post-antibiotique;Effet bactéricide concentration dépendant;Saturation de leur distribution tissulaire au niveau rénal;Existence de phénomènes de résistance par inactivation enzymatique;a;1
a4f4302a10b611254de8d30e7c77cf208331c6de2570f4dda45b04bd48139278;Parmi les propositions suivantes concernant les antidotes et les antagonistes, une seule est fausse. Laquelle?;La vitamine B6 est utilisée lors de l'intoxication par l'isoniazide;Le bleu de méthylène réduit le fer ferrique de la méthémoglobine;L'atropine corrige les effets des parasympathomimétiques;Le méthylsulfate de pralidoxime est un réactiveur des cholinestérases;Les folates sont utilisés lors de l'intoxication par l'éthylène glycol;e;1
4f4a4ebde07bfbb8eafb86ec4b9e253dd66f6d59bdfb39eeb80fad996941557a;Quelle méthode peut être utilisée pour déterminer la constante d'acidité (7,1 et 10,6) de l'acide valproïque (acide dipropylacétique) ?;La potentiométrie;La complexométrie;La spectrophotométrie UV -Visible;La polarographie;La chromatographie en phase gazeuse;a;1
a8bf27ac1ca06cde66b9c500858e1c7cdd292d4e503ab0e9602861d18d90d3bc;Parmi les propositions suivantes, une seule est exacte. Au cours de la leucémie lymphoïde chronique, le myélogramme montre:;Une population de lymphocytes>30%;Une population de lymphoblastes >30%;Une augmentation de la lignée granuleuse;Une augmentation de la lignée érythroblastique;La présence de bâtonnets d'Auer dans les blastes;a;1
9eb39243214e94bfabe4c957dc1e81d783f28132abe4353d32154124611d3373;Parmi les enzymes suivantes, une seule n'intervient pas dans la cétogenèse. Laquelle?;Pyruvate kinase;HydroxyméthylglutarylCoA lyase;Acéto-acétylCoA thiolase;Hydroxybutyrate déshydrogénase;HydroxyméthylglutarylCoA synthétase;a;1
3e2ab157314563e816542a4022ebe32ee65d12299af6e2cbcf6ea7e5bbc5e7ff;Parmi les propositions concernant la lithiase biliaire, une seule est fausse. Laquelle?;Elle est caractérisée par la présence de calculs dans les canalicules biliaires;Elle est plus fréquente chez le sujet âgé que chez le sujet jeune;Elle peut être associée à une hypercholestérolémie;Elle évolue vers une cirrhose;L'existence de facteurs génétiques n'est pas démontrée;d;1
67ec2abc4d26f40e06a518f09220b4bd918eda0dce337967a08710be405c6d62;Parmi les propositions suivantes à propos de la vancomycine, laquelle est inexacte?;C'est une béta-lactammine;Elle peut-être associée avec les aminosides;Elle n'est pas absorbée par voie digestive;Elle agit sur la synthèse du peptidoglycane;Elle a un spectre antibactérien essentiellement Gram positif;a;1
0febc6b681ca4c7deeeb495e8cb988f83397c0d17e9b02b21f9b57117007f007;L'effet tyramine à l'origine de crises hypertensives graves est rencontré fréquemment avec une classe de médicaments, laquelle?;Les antidépresseurs tricycliques;Les inhibiteurs de la mono amine oxydase;Les benzodiazépines;Les cyclopyrrolones;Les butyropnénones;b;1
2ce1709bd588a3e758fec59bbf7a3ac0221ab77f2a5b7d81d595b35f2b20cf09;Parmi les propositions suivantes, une seule est fausse. Laquelle? Une hyperkaliurie est généralement observée au cours:;D'une insuffisance rénale fonctionnelle;D'un hyperaldostéronisme primaire;Du traitement par certains diurétiques;Des grandes insuffisances cortico-surrénaliennes;D'une acidose métabolique;e;1
6a8cc70c9e63fbec7e4713f18c39d8b7317420698debfed778bd6d00d5608b19;Parmi les propositions suivantes, une seule est exacte. Laquelle? Le traitement d'une intoxication aiguë par le méthanol consiste à administrer:;Du butanol;De l'éthylène glycol;Du dimercaprol;De l'éthanol;Du pralidoxime;d;1
b68fd59d27b32336fdf9ee29753d538e99c97cb44f4b33cef1410843bc976725;Parmi les propositions suivantes, une seule est exacte. Laquelle? La potasse éthanolique 0,lN permet de doser:;Le phénobarbital;La morphine;Le cholestérol;Le phénobarbital sodique;Le chlorure de sodium;a;1
710fa45fcd6d1566f56b8d2fa884fec023bd14c167cf86787941cf93089f94ba;Parmi les substances suivantes, une seule ne traverse pas la barrière placentaire. Laquelle?;Dicoumarine;Glucose;Héparine;Tétracycline;Amplicilline;c;1
35565738f24ddf2df18ad209fe1d88632592b693f00834f44c5b618fc021b045;Parmi les propositions suivantes, une seule est fausse. Indiquer laquelle? Les enzymes suivantes interviennent dans la digestion des lipides alimentaires:;Lipase gastrique;Lipase pancréatique;Lipoprotéine lipase;Phospholipase A2;Cholestérol estérase;c;1
c64052f356c34cdada0533a42df568a638b41b5fc6bfa76094e36edfa1c408e3;Parmi les affirmations suivantes concernant le virus de l'hépatite B,une seule est fausse.Laquelle ?;Il s'agit d'un virus à ARN;Il appartient à la famille des Hepadnaviridae;Il possède une enveloppe lipoprotéique;II comporte une capside;Il peut être transmis par voie sanguine;a;1
ace54a7d3d19f80a67b6e06d8b6711be573363cfa0505ce82070119b3fb45498;Sur laquelle de ses méthodes repose le diagnostic parasitologique directe de l'ankylostomose ?;L'examen d'un frottis sanguin;L'examen d'un culot urinaire;La biopsie rectale;La recherche d' oeufs dans les selles;La recherche d'anticorps spécifiques du sang;d;1
ce68f3f107c760371b5e61c8566980c706bb326d8bdaa6cca561a889f0a2c53b;Que se passe-t-il pendant la systole ventriculaire?;Le remplissage ventriculaire;Le remplissage auriculaire;La contraction ventriculaire;La contraction auriculaire;La diastole générale;c;1
bf00e12da6dbf0bbacec51d263fcafa8aa525e8cba7f0f796d631a763b65650c;Parmi les propositions suivantes, une seule est exacte. Laquelle? L'aldostérone est secrétée par:;La zone glomérulée de la cortico-surrénale;La zone réticulée de la cortico-surrénale;La macula densa du rein;La post-hypophyse;L'ante-hypophyse;a;1
45d8b7a8c54fa7b3850b5c7d82a7a55003674b1a3652af5aec4429291a6ce93b;Parmi les propositions suivantes, une seule est fausse. Laquelle? L'AMPHOTERICINE B :;Est un antifongique de la famille des polyènes;Agit spécifiquement sur les dermatophytes;N'est pas absorbée par la muqueuse digestive;Peut être administrée par voie parentérale;Est néphrotoxique après perfusion au long cours;b;1
0152ec66931fbec5361373b23d1ee889a5133197095c1158a92b1c640905a916;Le taeniasis à Taenia saginata se contracte:;Par ingestion de viande de porc;Par ingestion de viande de mouton;Par ingestion de viande de boeuf;Par contact avec des anneaux d'un sujet parasité;Par ingestion de légumes souillés par des embryophores;c;1
ba146423b9e2e4355d1f277ece8732dec9659299ed247ec69c99ac5cf5f94581;L'identification d'une levure impliquée dans une pathologie humaine nécessite la réalisation de tous ces tests, sauf un. Lequel?;Isolement en milieu Sabouraud;Examen microscopique;Test de filamentation sur sérum;Inoculation à l'animal;Assimilation des sources carbonées;d;1
bebde744635b81a5ea802963e792493fe46440d57b6c01bdeafa9f060557127b;Parmi les propositions suivantes, une seule est exacte. Laquelle? Le segment du tubule rénal strictement imperméable à l'eau est:;Le tube proximal;La branche descendante de l'anse de Henlé;La branche ascendante de l'anse de Henlé;Le tube distal;Le tube collecteur;c;1
cca047e5cc3f32c32a80052d73e826ef715bb8874917e42ea4ff8ce343b25e7f;Quel est le médicament qui, associé à un aminoside, expose à un risque cytotoxique?;Alphaméthyldopa;Furosémide;Sel de quinidine;Cimétidine;Captopril;b;1
6979d46501a3270436d37b98cf351439fbcbec8d5890d293dabfb8f85f723904;Cocher la (les) proposition(s) exacte(s) : Le métronidazole :;Est un dérivé du pyrazole;Peut induire un effet antabuse;Peut être administré par voie parentérale intraveineuse;Peut être utilisé dans certaines parasitoses à protozoaires;Est inefficace dans les infections à germes anaérobies;b|c|d;3
a4c9c93e148b5530ea1a517d10e88ae6220bc77dd9394cbe708238984b532f15;Concernant l'intoxication aiguë par l'amitriptyline, quelle(s) est (sont la (les) proposition(s) exacte(s) ?;Un syndrome sérotoninergique est observé;Un syndrome anticholinergique est observé;Des convulsions peuvent être observées;Le pronostic dépend des troubles cardiovasculaires;La dose toxique est supérieure à 5 grammes chez l'adulte;a|b|c|d;4
c41d4f33467a9f6bd1fde03c574a206bc6e8772eaf7c2a169bec975ca269e986;Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Le catabolisme des acides gras saturés:;Se déroule au niveau cytoplasmique;S'accompagne de la biosynthèse d'ATP;Nécessite l'intervention de deshydrognase à NADP;Nécessite l'intervention de substrat activés par le coenzyme A;Donne naissance à des métabolites alpha-bêta insaturés de la forme trans;b|d|e;3
56f6a3e7196718bcefa25a867bc68d01f692dc775ee256b1a3a5133496030b92;Parmi les propositions suivantes concerrnant Listeria monocytogenes, quelle(s) est (sont) la (les) réponse(s) exacte(s) ?;Elle peut être responsable d'avortements;L'infection qu'elle provoque peut être traitée par le céfotaxime;Elle produit une toxine neurotrope;Elle peut croître à des températures voisines de + 4°C;Elle peut être responsable de méningo-encéphalites;a|d|e;3
85890c40437a4f7e0da57e65831e4a06fdf8ef08e5d071459fe08961a5d217d1;Parmi les marqueurs suivants, indiquer celui (ceux) qui reflète(nt) l'activité ostéoblastique.;Ostéocalcine (sérique);Pyridinolines (urinaires);Phosphatase acide résistant à l'acide tartrique (sérique);Glycosides d'hydroxylysine (urinaires);Phosphatase alcaline osseuse (sérique);a|e;2
b1c317085d43d057cdf2158169080aded4d5cf2dbb75164f39918471f4bd1d7a;Parmi les symptômes suivants. lequel (lesquels) est (sont) couramment observé(s) en cas d'intoxication aiguë par l'éthylène glycol ?;Insuffisance rénale;Troubles neurologiques;Troubles acido-basiques;Troubles cardiovasculaires;Troubles de l'audition;a|b|c|d;4
bf00415b5f8b7c675e7288eff92ef18a09a0fa38cdaed9cc4c2a6e3a00d0ba36;Parmi les affirmations suivantes, quelle(s) est (sont) celle(s) qui est (sont) exacte(s) ? Un détecteur à barette de diodes est un détecteur:;Spectrophotométrique utilisant une lumière monochromatique;Spectrophotométrique utilisant une lumière polychromatique;Réfractométrique;Utilisable en chromatographie en phase gazeuse;Utilisable en chromatographie en phase liquide;b|e;2
3efaa9e7b3e4a8966deefaafdfb0c6042da0fccb45a9008187ec81f870baa001;Parmi les propositions suivantes. laquelle ou (lesquelles) est (sont) exacte(s) ? La chromatographie à polarité de phases inversée;Utilise une phase stationnaire polaire;Utilise une phase mobile hydro-organique;Peut être appliquée aux espèces ionisées;élue en premier les solutés les plus polaires;Utilise une phase stationnaire en silice vierge;b|c|d;3
7c07795c851439629efe3b5488bc808a8cc8809756db656a44cdb6a210038326;Parmi les propositions suivantes, indiquer celle(s) qui est (sont) inexacte(s) : La trinitrine:;Est le trinitrate d'isosorbide;Est un médicament anti-angoreux;S'utilise par voie orale dans le traitement de la crise d'angor;Est méthémoglobinémiante à doses élevées;Augmente la tension artérielle;a|c|e;3
f115b4fbaa6d768eb603c49068792da7a6c31cafc96ae3821c3258714d5f4b1e;Parmi les propositions suivantes, indiquer celle (celles) qui est (sont) exacte(s) :Un syndrome mononucléosique est associé à :;Maladie de Kahler;Mononucléose infectieuse;Toxoplasmose;Infection à Shigella;Cytomégalovirus;b|c|e;3
77e30ba659eeb8de0f11f667db54a56877cd6663d60b3570c9e546586db13a9d;Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Les récepteurs aux neurotransmetteurs peuvent être couplés:;A un canal ionique;A l'adénylcyclase;A une tyrosine kinase;A une phospholipase C;A un transporteur membranaire;a|b|d;3
bb633658592309c12e5c0d1cdaeb34a81161de1b1999f3cd8fd55d3e624a4d64;Parmi les propositions suivantes, indiquer la (les) propositions exacte(s) ? Le méthotrexate est :;Un antifolate;Un analogue des folates;Un analogue de l'hypoxanthine;Un analogue des bases pyrimidiques;Un composé chiral;a|b|e;3
529e04edb59a2e925ece9ec454eee953b4119becfd03fa796a47fd511ada1964;Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Les formes érythrocytaires de Plasmodium sont :;Sporozoïte;Cryptozoïte;Corps de rosace;Schizonte;Gamétocyte;c|d|e;3
b3bfd9648a87a01526b08e94fc69a270dd776da56006a4044403cf10e07f58d0;Au cours de l'hypothyroïdie, on observe le ou les signe(s) suivant(s) :;Une baisse de la T4 libre;Une nervosité;Une hypothermie;Une prise de poids;Une hypercholestérolémie;a|c|d|e;4
51c77a50577f2018f812db328002dd85ecb7b4633504314af0e1b77d3b1abfed;Parmi les propositions suivantes concernant l'intoxication par le paracétamol, indiquer celle(s) qui est (sont) exacte(s) :;L'administration précoce de charbon activé diminue la biodisponibilité du paracétamol;La N-acétylcystéine utilisée per os, en association avec du charbon activé perd son activité détoxifiante;La néphropathie tubulaire aiguë constitue un signe précoce d'intoxication;Un lavage gastrique précoce constitue un geste thérapeutique essentiel;La voie de métabolisation toxifiante utilise le cytochrome P450;a|b|d|e;4
20c033c59dd29dd9fa3ad54cd66aa96d09c1a6e71d55b69d877c07fe77d1dd28;Parmi les propositions suivantes concernant l'oxyurose, indiquer celle(s) qui est (sont) inexacte(s) :;Le syndrome de Löffler se manifeste tardivement au cours de l'oxyurose;La ponte des femelles d'oxyure a lieu 3 mois après le contage humain;Il peut y avoir une hyperéosinophilie modérée au cours de l'oxyurose;L'oxyure adulte peut être évacué par la bouche;Le flubendazole (FLUVERMAL®) est un médicament utilisé dans l'oxyurose;a|b|d;3
6571501e1619d273ac57b186cbcded1ee0b5fa222ff2681c1d5f9980080733c3;Dans l'insuffisance rénale chronique non traitée, on observe :;Une destruction progressive des néphrons;Une hypocalcémie;Une anémie;Une hypokaliémie;Une diminution de la clairance rénale de la créatinine;a|b|c|e;4
6270c6e4f36b5c48b8cc4872246f48ce5ca867cb71c73729fc53296f5efdac87;Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ?;La zopiclone est une benzodiazépine anxiolytique;L'oxazépam est un métabolite secondaire du diazépam;Le flunitrazépam est un anxiolytique très puissant;Les benzodiazépines donnent des effets indésirables extrapyramidaux;Certaines benzodiazépines peuvent être utilisées en anesthésiologie;b|e;2
